X,Y
1503,0275
2281,0957
1038,0163
3345,0086
2776,0717
3296,0344
2773,0228
2077,0716
2594,1669
1959,0331
2577,1719
1460,1724
1043,0855
2597,0867
3082,0599
1899,1895
2674,1676
2757,0441
2629,0297
2675,1676
2741,0448
1870,1734
3059,1721
1597,0394
1225,1729
1229,1729
1431,0981
1232,1729
1227,1729
1234,1729
1693,1903
